CODE,NAME
S50011,"PT BARANUSA DANATAMA ADVERTISING (DANONE JKT)"
S50012,"PT ROSSO BIANCO (PIPILTIN COCOA)"
S50013,"PT KARTIKAWIRA ADISUKSES"
S50014,"EVE ACCESSORIES"
S50015,"UD MATAHARI"
S50017,"UD KECAK MAMA"
S50018,"BORWITA (CITRA PRIMA)"
S50019,"PT VICTORIA CARE INDONESIA"
S50020,"ENSERVAL PUTERA"
S50021,"MARSHALL CAVENDISH"
S50022,"PT ESHAM DIMA MANDIRI"
S50023,"PT SUKANDA DJAYA JAKARTA"
S50024,"PT EIGERINDO MULTI PRODUK INDUSTRI (EIGER)"
S50026,"PT NIRWANA LESTARI (JAKARTA)"
S50027,"PT SELARAS MAKMUR SEJATI (MICROPACK)"
S50028,"PT GRAMEDIA ASRI MEDIA (STATIONERY JAKARTA)"
S50029,"PT GRAMEDIA ASRI MEDIA (BOOKS JAKARTA)"
S50030,"PT AKASHA WIRA INTERNATIONAL, TBK(NESTLE)"
S50031,"PT DIAN PASIFIK KOMUNIKASI UTAMA"
S50032,"PT UNITED HARVEST INDONESIA"
S50033,"EDITIONS DIDIER MILLET PTE LTD (EDM)"
S50034,"PT ENSEVAL PUTERA MEGATRADING"
S50035,"PT ANUGERAH MULIA INDOBEL(MONGGO)"
S50038,"PT TEMPO INTI MEDIA HARIAN"
S50039,"PT TEMPO INTI MEDIA HARIAN"
S50040,"BALONKU"
S50042,"PT DUTA LESTARI SENTRATAMA (KINO JAKARTA)"
S50043,"CV SUN FLOWER (KALIBRE) CONSIGMENT"
S50045,"PT BAB PUBLISHING INDONESIA"
S50048,"PT GRAFIKA ESTETIKA ATRIA (AFTERHOURS)"
S50049,"PT JAPAN TOBACCO INTERNATIONAL INDONESIA"
S50050,"PT TRITAMA PRIMA LESTARI"
S50052,"CV SUMBER JASA"
S50053,"LITTLEHAMPTON BOOK SERVICES (HACHETTE UK GROUP)"
S50054,"PT DELTA PUSAKA INDAH (KRAFT)"
S50055,"PT MARGRETA SWEETA VARIA (WHOLESALES)"
S50056,"CV SUN FLOWER (KALIBRE)"
S50058,"MAHARANI RECORD"
S50059,"PT GRAMEDIA ASRI MEDIA (STATIONARY)"
S50060,"PT WAHANA BOGA NUSANTARA (LOTUS)"
S50061,"PT TEMPO INTI MEDIA HARIAN (WHOLESALE)"
S50062,"PT OTSUKA DISTRIBUTION INDONESIA (JAKARTA)"
S50063,"PT RASA LOKAL INDONESIA"
S50064,"PT ELIA MEDIATAMA INDONESIA (ELLE MAGAZINE)"
S50065,"STRAITS TIMES PRESS PTE LTD (SPH)"
S50066,"PT FAMILIA INDO SEJAHTERA"
S50067,"PT EIGERINDO MULTI PRODUK INDUSTRI (BODYPACK)"
S50068,"PT EIGERINDO MULTI PRODUK INDUSTRI (EXSPORT)"
S50069,"PT SARANA ABADI MAKMUR BERSAMA (LOTTE-KRAFT-CADBURYS-PERFETTI JAKARTA)"
S50070,"PT MAP MITRA ADIPERKASA (TRAVEL)"
S50071,"PT YUNA ASIA"
S50072,"PT PANGAN LESTARI(FINNA)"
